Type,SKU,Name,Published,Featured,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
simple,1688-1748605432,Creative Resin Bear Pen Craft Office Desktop Study Decoration Classmates Friends Holiday Birthday Gift,1,0,visible,"Provides you with creative resin bear pen crafts office desktop study decoration classmates and friends holiday birthday gifts and other products,. \n &lt;style...","Provides you with creative resin bear pen crafts office desktop study decoration classmates and friends holiday birthday gifts and other products,. \n &lt;style&gt;\n. App-shopSigns {\n display: none;\n }\n.",,,taxable,,yes,,0,0,,,,,1,,,17.95,Imported Products,,,"https://cbu01.alicdn.com/cms/upload/2015/568/405/2504865_1964054271.png,https://cbu01.alicdn.com/img/ibank/O1CN01N6H9Oi1dqUdOJty8O_!!1702133787-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01N3a1AD1dqUYPAxbUY_!!1702133787-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Gyk1BJ1dqUdUU9Iwg_!!1702133787-0-cib.310x310.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01pLdqSH1dqUdWJ8FWN_!!1702133787-0-cib.310x310.jpg",,,,,,,,,,,,1,1,,,1,1
simple,1688-1748605496,Leifeng Pagoda Model Handmade Leifeng Pagoda Souvenir Home Decoration Hangzhou Gift Travel Friends Colleague Birthday Gift,1,0,visible,"Provides you with leifeng tower model handmade leifeng tower souvenir home decoration hangzhou gift travel friends colleagues birthday gifts and other products,...","Provides you with leifeng tower model handmade leifeng tower souvenir home decoration hangzhou gift travel friends colleagues birthday gifts and other products,. \n &lt;style&gt;\n. App-shopSigns {\n display: none;\n }\n.",,,taxable,,yes,,0,0,,,,,1,,,19.91,Imported Products,,,"https://cbu01.alicdn.com/img/ibank/13905983887_316025720.jpg,https://cbu01.alicdn.com/img/ibank/13822251019_316025720.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01N3a1AD1dqUYPAxbUY_!!1702133787-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/13906001399_316025720.220x220.jpg,https://cbu01.alicdn.com/img/ibank/13822251019_316025720.310x310.jpg",,,,,,,,,,,,1,1,,,1,1
simple,1688-1748605500,Trophy model alarm clock student bedside timing alarm clock alarm table children children learning clock holiday birthday gifts,1,0,visible,"Provides you with a trophy model alarm clock student bedside alarm clock alarm table children children learning clock holiday birthday gifts and other products,...","Provides you with a trophy model alarm clock student bedside alarm clock alarm table children children learning clock holiday birthday gifts and other products,. \n &lt;style&gt;\n. App-shopSigns {\n display: none;\n }\n.",,,taxable,,yes,,0,0,,,,,1,,,8.15,Imported Products,,,"https://cbu01.alicdn.com/img/ibank/2020/743/651/22373156347_316025720.310x310.jpg,https://cbu01.alicdn.com/img/ibank/2020/613/755/22283557316_316025720.310x310.jpg,https://cbu01.alicdn.com/img/ibank/2020/012/515/22283515210_316025720.310x310.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01N3a1AD1dqUYPAxbUY_!!1702133787-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/2020/354/480/22373084453_316025720.jpg",,,,,,,,,,,,1,1,,,1,1
simple,1688-1748605504,Creative Children&#39;s Alarm Clock Plastic Cartoon Student Astronaut Alarm Clock Timing Function Dormitory Kids Cute Jump Seconds,1,0,visible,Provides you with creative children&#39;s alarm clock plastic cartoon student astronaut alarm clock timer function dormitory kids cute jump seconds and other pr...,"Provides you with creative children&#39;s alarm clock plastic cartoon student astronaut alarm clock timer function dormitory kids cute jump seconds and other products,. \n &lt;style&gt;\n. App-shopSigns {\n display: none;\n }\n.",,,taxable,,yes,,0,0,,,,,1,,,6.98,Imported Products,,,"https://cbu01.alicdn.com/img/ibank/O1CN01LPXaD61dqUcMiE2OT_!!1702133787-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN016glCRi1dqUcTZ31zv_!!1702133787-0-cib.220x220.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01fICAZ31dqUcSXxubN_!!1702133787-0-cib.220x220.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Jqn85o1dqUcUHUMfm_!!1702133787-0-cib.310x310.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01N3a1AD1dqUYPAxbUY_!!1702133787-0-cib.jpg",,,,,,,,,,,,1,1,,,1,1
simple,1688-1748605508,Creative romantic star lamp projection lamp USB cable bulk LED light connection line luminous toy accessories,1,0,visible,"Provides you with creative romantic star lamp projection lamp usb cable bulk led light connection line luminous toy accessories and other products,. \n &lt;styl...","Provides you with creative romantic star lamp projection lamp usb cable bulk led light connection line luminous toy accessories and other products,. \n &lt;style&gt;\n. App-shopSigns {\n display: none;\n }\n.",,,taxable,,yes,,0,0,,,,,1,,,0.82,Imported Products,,,"https://cbu01.alicdn.com/cms/upload/2015/568/405/2504865_1964054271.png,https://cbu01.alicdn.com/img/ibank/2017/327/452/4701254723_316025720.220x220.jpg,https://cbu01.alicdn.com/img/ibank/2017/577/152/4701251775_316025720.jpg,https://cbu01.alicdn.com/img/ibank/2017/327/452/4701254723_316025720.310x310.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01N3a1AD1dqUYPAxbUY_!!1702133787-0-cib.jpg",,,,,,,,,,,,1,1,,,1,1
simple,1688-1748605513,Creative Romantic Couple Star Light Quiet LED Projection Light Star Night Light Friends Valentine&#39;s Day Gift,1,0,visible,"Provides you with creative romantic couple starry silent led projection lamp starry night light friends valentine&#39;s day gift products such as,. \n &lt;style...","Provides you with creative romantic couple starry silent led projection lamp starry night light friends valentine&#39;s day gift products such as,. \n &lt;style&gt;\n. App-shopSigns {\n display: none;\n }\n.",,,taxable,,yes,,0,0,,,,,1,,,4.37,Imported Products,,,"https://cbu01.alicdn.com/img/ibank/2017/213/295/4701592312_316025720.jpg,https://cbu01.alicdn.com/img/ibank/2017/691/302/4701203196_316025720.310x310.jpg,https://cbu01.alicdn.com/cms/upload/2015/568/405/2504865_1964054271.png,https://cbu01.alicdn.com/img/ibank/2017/150/602/4701206051_316025720.310x310.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01N3a1AD1dqUYPAxbUY_!!1702133787-0-cib.jpg",,,,,,,,,,,,1,1,,,1,1
simple,1688-1748605517,Electronic alarm clock with music display temperature lazy alarm multifunctional luminous LED alarm clock student gift ornaments,1,0,visible,Provides you with an electronic alarm clock with music display temperature lazy alarm multifunctional luminous led alarm clock student gifts ornaments and other...,"Provides you with an electronic alarm clock with music display temperature lazy alarm multifunctional luminous led alarm clock student gifts ornaments and other products,. \n &lt;style&gt;\n. App-shopSigns {\n display: none;\n }\n.",,,taxable,,yes,,0,0,,,,,1,,,8.44,Imported Products,,,"https://cbu01.alicdn.com/cms/upload/2015/568/405/2504865_1964054271.png,https://cbu01.alicdn.com/img/ibank/2020/931/090/20905090139_316025720.220x220.jpg,https://cbu01.alicdn.com/img/ibank/2017/840/700/4703007048_316025720.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01N3a1AD1dqUYPAxbUY_!!1702133787-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/2017/840/700/4703007048_316025720.310x310.jpg",,,,,,,,,,,,1,1,,,1,1
simple,1688-1748605521,Balance Ball Swinging Weightlifting Little Iron Man Creative Weightlifting Sports Not Falling Tumbler Decoration Holiday Gift,1,0,visible,"Provides you with a balance ball rocking weightlifting small iron man creative weightlifting tumbler ornaments holiday gifts and other products,. \n &lt;style&g...","Provides you with a balance ball rocking weightlifting small iron man creative weightlifting tumbler ornaments holiday gifts and other products,. \n &lt;style&gt;\n. App-shopSigns {\n display: none;\n }\n.",,,taxable,,yes,,0,0,,,,,1,,,5.04,Imported Products,,,"https://cbu01.alicdn.com/cms/upload/2015/568/405/2504865_1964054271.png,https://cbu01.alicdn.com/img/ibank/2017/658/916/4703619856_316025720.220x220.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01N3a1AD1dqUYPAxbUY_!!1702133787-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/2017/658/916/4703619856_316025720.310x310.jpg,https://cbu01.alicdn.com/img/ibank/2017/034/526/4703625430_316025720.310x310.jpg",,,,,,,,,,,,1,1,,,1,1
simple,1688-1748605525,Creative Romantic Couple Star Light Quiet LED Projection Light Star Night Light Friends Valentine&#39;s Day Gift,1,0,visible,"Provides you with creative romantic couple starry silent led projection lamp starry night light friends valentine&#39;s day gift products such as,. \n &lt;style...","Provides you with creative romantic couple starry silent led projection lamp starry night light friends valentine&#39;s day gift products such as,. \n &lt;style&gt;\n. App-shopSigns {\n display: none;\n }\n.",,,taxable,,yes,,0,0,,,,,1,,,4.37,Imported Products,,,"https://cbu01.alicdn.com/img/ibank/2017/213/295/4701592312_316025720.jpg,https://cbu01.alicdn.com/img/ibank/2017/691/302/4701203196_316025720.310x310.jpg,https://cbu01.alicdn.com/cms/upload/2015/568/405/2504865_1964054271.png,https://cbu01.alicdn.com/img/ibank/2017/150/602/4701206051_316025720.310x310.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01N3a1AD1dqUYPAxbUY_!!1702133787-0-cib.jpg",,,,,,,,,,,,1,1,,,1,1
simple,1688-1748605529,Creative romantic star lamp projection lamp USB cable bulk LED light connection line luminous toy accessories,1,0,visible,"Provides you with creative romantic star lamp projection lamp usb cable bulk led light connection line luminous toy accessories and other products,. \n &lt;styl...","Provides you with creative romantic star lamp projection lamp usb cable bulk led light connection line luminous toy accessories and other products,. \n &lt;style&gt;\n. App-shopSigns {\n display: none;\n }\n.",,,taxable,,yes,,0,0,,,,,1,,,0.82,Imported Products,,,"https://cbu01.alicdn.com/cms/upload/2015/568/405/2504865_1964054271.png,https://cbu01.alicdn.com/img/ibank/2017/327/452/4701254723_316025720.220x220.jpg,https://cbu01.alicdn.com/img/ibank/2017/577/152/4701251775_316025720.jpg,https://cbu01.alicdn.com/img/ibank/2017/327/452/4701254723_316025720.310x310.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01N3a1AD1dqUYPAxbUY_!!1702133787-0-cib.jpg",,,,,,,,,,,,1,1,,,1,1
